epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7526,0.96587,0.93811,1.34147,0.73453,0.86961,0.86469,0.5955,0.96527,0.84046,1.39221,0.000653333,0.000653333,0.000653333
2,34.85,0.98162,0.9777,1.35248,0.71095,0.77301,0.78542,0.53524,1.05961,0.95678,1.47769,0.00130693,0.00130693,0.00130693
3,51.8076,1.01922,1.0288,1.36675,0.68578,0.78985,0.81831,0.53985,1.1413,0.98078,1.50802,0.00194733,0.00194733,0.00194733
4,68.1126,1.05691,1.08575,1.40364,0.73356,0.72381,0.78456,0.49288,1.29402,1.39842,1.63407,0.0019406,0.0019406,0.0019406
5,84.279,1.06928,1.08451,1.40457,0.64193,0.61905,0.64172,0.36497,1.31578,1.40277,1.68489,0.0019208,0.0019208,0.0019208
6,100.429,1.02738,1.07656,1.38878,0.85622,0.71429,0.83083,0.53663,1.17572,0.9518,1.59947,0.001901,0.001901,0.001901
7,116.559,1.05038,1.101,1.40461,0.70654,0.78095,0.77443,0.51111,1.09416,1.0337,1.49952,0.0018812,0.0018812,0.0018812
8,132.607,1.01289,1.05136,1.37287,0.83947,0.8,0.86042,0.56726,1.15241,0.86108,1.52971,0.0018614,0.0018614,0.0018614
9,149.354,0.98258,0.97439,1.35615,0.83788,0.83675,0.88294,0.58589,1.02858,0.91169,1.45651,0.0018416,0.0018416,0.0018416
10,166.346,1.00843,1.02616,1.35215,0.87113,0.70816,0.83603,0.54758,1.03687,0.98112,1.43613,0.0018218,0.0018218,0.0018218
11,183.717,0.96849,0.97139,1.34533,0.76503,0.79048,0.83786,0.58612,1.04474,0.86241,1.44451,0.001802,0.001802,0.001802
12,200.135,0.98376,0.97511,1.32615,0.82301,0.88573,0.9041,0.63384,0.99279,0.84736,1.39385,0.0017822,0.0017822,0.0017822
13,216.352,0.925,0.94895,1.30944,0.77139,0.80952,0.85648,0.60328,1.003,0.75954,1.46515,0.0017624,0.0017624,0.0017624
14,232.467,0.97125,0.89311,1.33448,0.81257,0.74322,0.83703,0.5682,1.08106,0.79608,1.48365,0.0017426,0.0017426,0.0017426
15,248.495,0.9673,0.94031,1.3369,0.8009,0.84284,0.85311,0.59293,1.0619,0.88727,1.44721,0.0017228,0.0017228,0.0017228
16,265.7,0.96368,0.92959,1.31833,0.85356,0.77721,0.84676,0.58702,1.03991,0.89264,1.45342,0.001703,0.001703,0.001703
17,282.154,0.93871,0.89817,1.31813,0.83557,0.72598,0.83099,0.5506,1.09481,0.8213,1.53757,0.0016832,0.0016832,0.0016832
18,298.303,0.96295,0.91384,1.31948,0.84769,0.75238,0.88901,0.60257,1.08567,0.85459,1.49184,0.0016634,0.0016634,0.0016634
19,314.272,0.96078,0.89542,1.33009,0.85589,0.79048,0.89237,0.63063,1.00042,0.79111,1.43535,0.0016436,0.0016436,0.0016436
20,330.583,0.93307,0.91354,1.29935,0.86734,0.87177,0.92902,0.64695,0.92083,0.72838,1.34891,0.0016238,0.0016238,0.0016238
21,346.701,0.92959,0.8736,1.31391,0.87415,0.79384,0.90389,0.66363,0.98848,0.7332,1.36578,0.001604,0.001604,0.001604
22,363.528,0.93579,0.87103,1.31997,0.87314,0.78661,0.89148,0.61278,0.97746,0.79852,1.40462,0.0015842,0.0015842,0.0015842
23,380.309,0.92043,0.87317,1.29862,0.87231,0.78076,0.87692,0.63794,0.92681,0.76498,1.33606,0.0015644,0.0015644,0.0015644
24,396.841,0.91291,0.8669,1.27791,0.83467,0.86549,0.89692,0.62044,1.00955,0.68892,1.422,0.0015446,0.0015446,0.0015446
25,413.141,0.91761,0.85988,1.29993,0.84384,0.87619,0.89622,0.63691,0.99374,0.78696,1.41406,0.0015248,0.0015248,0.0015248
26,430.304,0.89519,0.83642,1.27607,0.88106,0.81905,0.90357,0.65882,0.89139,0.72675,1.32078,0.001505,0.001505,0.001505
27,446.848,0.8973,0.84765,1.27837,0.85417,0.80952,0.89874,0.63582,0.96251,0.80022,1.35275,0.0014852,0.0014852,0.0014852
28,463.698,0.9049,0.86131,1.30284,0.85014,0.75644,0.86868,0.64761,0.95365,0.80017,1.33542,0.0014654,0.0014654,0.0014654
29,480.548,0.86993,0.80711,1.25179,0.86387,0.84612,0.89062,0.63598,0.95186,0.70623,1.38407,0.0014456,0.0014456,0.0014456
30,496.827,0.87411,0.80969,1.25845,0.81017,0.77227,0.85849,0.59965,1.05657,0.80936,1.53229,0.0014258,0.0014258,0.0014258
31,513.006,0.88742,0.78929,1.26995,0.82276,0.81905,0.88375,0.64059,0.85591,0.7453,1.30366,0.001406,0.001406,0.001406
32,529.124,0.85306,0.78378,1.25042,0.79834,0.86667,0.91039,0.67033,0.89245,0.69353,1.29156,0.0013862,0.0013862,0.0013862
33,545.106,0.87146,0.80966,1.25873,0.82669,0.82857,0.87031,0.63414,0.92134,0.67875,1.36089,0.0013664,0.0013664,0.0013664
34,561.417,0.82081,0.75689,1.21237,0.89754,0.83431,0.92371,0.68962,0.83455,0.67215,1.28255,0.0013466,0.0013466,0.0013466
35,578.774,0.84541,0.76296,1.25232,0.91988,0.87482,0.93582,0.68552,0.91783,0.63466,1.36237,0.0013268,0.0013268,0.0013268
36,595.355,0.83788,0.71879,1.22303,0.82703,0.86522,0.90875,0.65832,0.94203,0.68208,1.35451,0.001307,0.001307,0.001307
37,611.777,0.86338,0.75791,1.23811,0.88986,0.82857,0.92099,0.65064,0.97345,0.64974,1.38372,0.0012872,0.0012872,0.0012872
38,628.133,0.83949,0.76531,1.2305,0.90714,0.83732,0.90448,0.65432,0.86924,0.60581,1.33803,0.0012674,0.0012674,0.0012674
39,644.123,0.82893,0.74405,1.22363,0.84295,0.86667,0.92234,0.6902,0.88406,0.66575,1.33062,0.0012476,0.0012476,0.0012476
40,660.291,0.8158,0.71992,1.2246,0.9531,0.8,0.91661,0.66065,0.8884,0.6673,1.33929,0.0012278,0.0012278,0.0012278
41,677.093,0.82364,0.73883,1.21603,0.81661,0.89061,0.89111,0.66285,0.87195,0.7218,1.30331,0.001208,0.001208,0.001208
42,694.831,0.81546,0.71736,1.23353,0.84605,0.85714,0.90998,0.68234,0.91414,0.66603,1.31724,0.0011882,0.0011882,0.0011882
43,711.094,0.78731,0.70399,1.20944,0.83312,0.8,0.87034,0.63824,0.94655,0.71434,1.38201,0.0011684,0.0011684,0.0011684
44,727.16,0.80682,0.68927,1.21693,0.83659,0.82887,0.8766,0.64448,1.01082,0.64679,1.43518,0.0011486,0.0011486,0.0011486
45,743.33,0.7876,0.68058,1.20364,0.8807,0.84369,0.91974,0.6891,0.89854,0.64116,1.30152,0.0011288,0.0011288,0.0011288
46,759.565,0.80467,0.70599,1.21959,0.88147,0.81905,0.90519,0.6789,0.84993,0.66558,1.28325,0.001109,0.001109,0.001109
47,775.552,0.77855,0.68497,1.19269,0.9131,0.80952,0.91381,0.68091,0.92447,0.63878,1.35076,0.0010892,0.0010892,0.0010892
48,792.493,0.80343,0.69382,1.20245,0.91004,0.8381,0.93745,0.69199,0.9646,0.58845,1.35719,0.0010694,0.0010694,0.0010694
49,809.045,0.79683,0.67359,1.20492,0.8791,0.83104,0.90555,0.67537,0.90916,0.65579,1.32798,0.0010496,0.0010496,0.0010496
50,825.346,0.78097,0.67038,1.1898,0.87242,0.86667,0.92614,0.70033,0.94824,0.63444,1.36641,0.0010298,0.0010298,0.0010298
51,841.59,0.77431,0.66065,1.19487,0.90689,0.84762,0.91755,0.68491,0.91005,0.60088,1.33601,0.00101,0.00101,0.00101
52,857.888,0.76399,0.64003,1.19105,0.85188,0.8764,0.94243,0.70574,0.86193,0.60469,1.28565,0.0009902,0.0009902,0.0009902
53,874.134,0.73465,0.63635,1.17347,0.87826,0.82448,0.90162,0.68281,0.82559,0.65188,1.28319,0.0009704,0.0009704,0.0009704
54,891.186,0.76922,0.65522,1.17399,0.83037,0.89524,0.90951,0.67989,0.95654,0.58223,1.35572,0.0009506,0.0009506,0.0009506
55,907.752,0.72984,0.5938,1.14814,0.85237,0.89524,0.92562,0.69416,0.86433,0.58836,1.30354,0.0009308,0.0009308,0.0009308
56,924.303,0.73705,0.628,1.17803,0.87234,0.87619,0.93578,0.72083,0.857,0.56316,1.30586,0.000911,0.000911,0.000911
57,941.95,0.75172,0.62531,1.18142,0.87637,0.87766,0.91185,0.67853,0.92414,0.59285,1.32698,0.0008912,0.0008912,0.0008912
58,958.2,0.72705,0.59152,1.15832,0.90325,0.80018,0.89841,0.67175,0.89694,0.66962,1.33846,0.0008714,0.0008714,0.0008714
59,974.482,0.74666,0.61002,1.17832,0.88062,0.82857,0.90579,0.69128,0.90264,0.61413,1.31142,0.0008516,0.0008516,0.0008516
60,991.854,0.7475,0.64476,1.16959,0.86795,0.8,0.91266,0.71143,0.88541,0.63737,1.29958,0.0008318,0.0008318,0.0008318
61,1008.25,0.71379,0.58655,1.1504,0.87698,0.81474,0.90469,0.69387,0.82281,0.64655,1.22322,0.000812,0.000812,0.000812
62,1024.52,0.71307,0.58716,1.13648,0.88857,0.85714,0.93384,0.71561,0.87704,0.60787,1.33068,0.0007922,0.0007922,0.0007922
63,1040.78,0.72112,0.58436,1.14115,0.8741,0.85714,0.9241,0.70541,0.86094,0.56216,1.27844,0.0007724,0.0007724,0.0007724
64,1057.18,0.72923,0.56653,1.16656,0.86976,0.8381,0.91064,0.6815,0.88452,0.6487,1.32005,0.0007526,0.0007526,0.0007526
